Station,OS X,OS Y,Latitude,Longitude,Zone
Abbey Road,539081,183352,51.531951985733,0.0037377856069111,"3"
All Saints,538012,180933,51.510476925464,-0.012610477634,"2"
Bank,532704,181111,51.513347072699,-0.088985715325045,"1"
Beckton,543145,181509,51.514376621471,0.061539705886513,"3"
Beckton Park,542697,180887,51.508900786453,0.054836346093653,"3"
Blackwall,538394,180649,51.507831540895,-0.0072207589795153,"2"
Bow Church,537414,182824,51.527615205643,-0.020485486059214,"2"
Canary Wharf,537558,180153,51.503578406232,-0.019452434600173,"2"
Canning Town,539454,181350,51.513870285695,0.0083200415480822,"3"
Crossharbour and London Arena,537896,179301,51.495839980525,-0.014918409980624,"2"
Custom House,540679,180911,51.509622053058,0.025786917726712,"3"
Cutty Sark for Maritime Greenwich,538240,177764,51.481944468688,-0.01056746798363,"2"
Cyprus,543324,180863,51.508526572883,0.063855162939039,"3"
Deptford Bridge,537466,176912,51.474476774061,-0.022038032405853,"2/3"
Devons Road,537603,182233,51.522258469272,-0.017993342742124,"2"
East India,538729,180753,51.508684006054,-0.0023559243798497,"2,3"
Elverson Road,537848,176243,51.468372191483,-0.016801981736488,"2,3"
Gallions Reach,543873,180935,51.509034130657,0.071789801687878,"3"
Greenwich,537956,177267,51.477547665535,-0.014848686252722,"2/3"
Heron Quays,537386,180127,51.503386571015,-0.021939126563571,"2"
Island Gardens,538228,178432,51.487950088882,-0.010478902499309,"2"
King George V,543231,180135,51.502008599189,0.062220618931645,"3"
Langdon Park,537807,181863,51.518883939693,-0.015199388573999,"2"
Lewisham,538163,175863,51.464880714235,-0.012418307529155,"2/3"
Limehouse,536150,181087,51.512312167848,-0.039365669438682,"2"
London City Airport,542231,180294,51.50368965775,0.047887121033287,"3"
Mudchute,537908,178789,51.491236186648,-0.014945543221677,"2"
Pontoon Dock,541226,180102,51.502216211037,0.033340112607835,"3"
Poplar,537698,180603,51.507588072081,-0.017261086484836,"2"
Prince Regent,541215,180905,51.509434545079,0.033502981448267,"3"
Pudding Mill Lane,537930,183585,51.53432785535,-0.012754096692901,"2,3"
Royal Albert,542029,180823,51.508493863562,0.045191552169371,"3"
Royal Victoria,540139,180833,51.509055232332,0.017979819853408,"3"
Shadwell,534936,180942,51.51130016173,-0.056904799137598,"2"
South Quay,537636,179853,51.500863608239,-0.018446287979256,"2"
Star Lane,539148,182091,51.520604250081,0.0042054135552674,"3"
Stratford,538533,184421,51.541692579295,-0.0037372234417709,"3"
Stratford High Street,538729,184032,51.538148951165,-0.001065939537146,"3"
Stratford International,538175,184758,51.54480853536,-0.0087640154463654,"3"
Tower Gateway,533725,180809,51.510392650922,-0.074395469530797,"1"
West Ham,539202,182974,51.52852551818,0.0053318072586749,"3"
West India Quay,537471,180505,51.506762659668,-0.020568040587805,"2"
West Silvertown,540455,180155,51.502884431544,0.022260451989289,"3"
Westferry,537064,180814,51.509638150617,-0.026308729670621,"2"
Woolwich Arsenal,543754,178803,51.489907107526,0.069208307647642,"4"
